rank,brand,title,price,original_price,discount_rate,rating,review_count,url
222,호카오네오네,[주간TOP10] 인기운동화모음 호카 뉴발란스 아디다스 外,60682,,5,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000632211336
223,,금주 채소 행사전 ~50%,3288,,40,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000819464900
224,삼성,전자 갤럭시 버즈 시리즈,246967,,7,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000682346639
225,피에스타,[피에스타XSSG] 우리아이 감성 주방놀이  (주방놀이/역할놀이 모음),112800,,6,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000038998603
226,,새콤달콤 토마토 금주 시즌특가 ~1+1,7980,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000803066221
227,MLB키즈,"[신세계백화점 사우스시티]정상가 49,000원 베이직 스트릿 그래피티 티셔츠 (5color) 7ATSB1153",20825,,15,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000799669641
228,코랄리크,바캉스 스윔웨어 할인전 + 추가즉시할인 혜택,94070,,16,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000819059325
229,,간편 활용 냉동수산 갑오징어 등 ~50%,17980,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000384698842
230,,코주부 프리미엄 육포와 주전부리가 함께 나들이 가보자! 무료배송 할인특가,15600,,20,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000819001672
301,,새콤달콤 만다린 ~40% 할인,11800,,40,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000681032477
